account_id,customer_id,account_type,account_status
1,9904,Credit,Dormant
2,6502,Savings,Active
3,8115,Credit,Active
4,8429,Current,Active
5,1057,Current,Closed
6,2261,Savings,Active
7,9218,Savings,Active
8,909,Current,Active
9,450,Current,Active
10,569,Savings,Active
11,3499,Savings,Active
12,5871,Current,Active
13,1309,Current,Active
14,718,Credit,Active
15,9162,Credit,Active
16,3346,Current,Closed
17,7215,Savings,Active
18,7683,Credit,Dormant
19,2719,Credit,Active
20,9096,Current,Active
21,9643,Savings,Active
22,1456,Savings,Active
23,7298,Current,Active
24,7036,Savings,Active
25,4231,Current,Active
26,532,Savings,Closed
27,2268,Current,Dormant
28,333,Savings,Active
29,5250,Current,Active
30,7200,Current,Dormant
31,5722,Savings,Closed
32,9514,Current,Active
33,8013,Credit,Active
34,7929,Savings,Active
35,9901,Current,Active
36,6501,Savings,Active
37,401,Savings,Active
38,7040,Current,Active
39,3992,Credit,Active
40,9671,Savings,Active
41,1058,Credit,Dormant
42,7934,Credit,Active
43,2994,Current,Active
44,8234,Current,Active
45,27,Savings,Closed
46,3534,Current,Active
47,2619,Savings,Active
48,9363,Savings,Active
49,6640,Credit,Dormant
50,6630,Current,Active
51,7628,Current,Closed
52,7043,Savings,Active
53,8903,Credit,Active
54,2019,Current,Active
55,4879,Credit,Active
56,2899,Credit,Active
57,6076,Savings,Active
58,2048,Current,Active
59,5203,Current,Active
60,1559,Current,Active
61,1723,Credit,Active
62,4053,Current,Active
63,1652,Savings,Closed
64,5223,Credit,Active
65,1779,Current,Active
66,684,Credit,Active
67,9472,Credit,Active
68,2011,Credit,Active
69,9408,Savings,Dormant
70,2583,Current,Active
71,8506,Current,Active
72,7444,Credit,Active
73,5493,Current,Active
74,444,Credit,Closed
75,1672,Credit,Active
76,3267,Credit,Active
77,7426,Savings,Closed
78,5910,Current,Closed
79,7015,Credit,Active
80,5480,Current,Active
81,7820,Savings,Active
82,5142,Savings,Dormant
83,716,Credit,Active
84,892,Savings,Dormant
85,3808,Savings,Active
86,501,Savings,Active
87,2641,Savings,Active
88,9546,Savings,Active
89,8895,Savings,Active
90,2334,Current,Active
91,2195,Savings,Active
92,6938,Current,Active
93,8576,Credit,Active
94,9078,Savings,Active
95,1592,Savings,Active
96,5060,Current,Dormant
97,4399,Savings,Active
98,4441,Current,Active
99,1784,Current,Active
100,5386,Savings,Active
101,4118,Credit,Active
102,6983,Credit,Dormant
103,2584,Credit,Active
104,9922,Current,Active
105,8455,Current,Active
106,2431,Savings,Active
107,5670,Current,Active
108,7061,Credit,Active
109,8584,Savings,Active
110,2937,Credit,Dormant
111,8732,Savings,Dormant
112,9308,Credit,Active
113,6710,Savings,Active
114,9076,Credit,Dormant
115,4324,Current,Active
116,6617,Credit,Closed
117,2420,Savings,Active
118,1400,Credit,Active
119,9769,Current,Active
120,2085,Savings,Active
121,7805,Current,Active
122,6988,Credit,Active
123,5157,Savings,Active
124,5310,Credit,Active
125,1536,Savings,Active
126,4754,Current,Active
127,8282,Current,Active
128,7049,Current,Active
129,4191,Credit,Active
130,1655,Savings,Active
131,7554,Current,Active
132,7453,Credit,Closed
133,8558,Credit,Active
134,3961,Savings,Active
135,6835,Current,Active
136,5092,Credit,Active
137,519,Current,Active
138,3711,Savings,Active
139,830,Current,Active
140,6628,Current,Active
141,8463,Credit,Active
142,7989,Credit,Active
143,2987,Savings,Active
144,6776,Savings,Active
145,6691,Savings,Active
146,4815,Credit,Active
147,9200,Savings,Active
148,8797,Savings,Active
149,177,Credit,Active
150,9907,Savings,Active
151,8829,Credit,Active
152,6171,Savings,Active
153,2624,Credit,Active
154,2779,Current,Active
155,3753,Credit,Dormant
156,8853,Credit,Dormant
157,4366,Credit,Active
158,4341,Savings,Active
159,4756,Credit,Active
160,8277,Credit,Closed
161,3671,Savings,Active
162,9099,Current,Active
163,3522,Credit,Active
164,1876,Savings,Active
165,3959,Current,Active
166,2137,Credit,Active
167,9046,Current,Active
168,507,Credit,Active
169,8600,Credit,Dormant
170,5391,Current,Dormant
171,8716,Current,Active
172,5614,Current,Active
173,6751,Credit,Active
174,3051,Credit,Active
175,7093,Savings,Active
176,2398,Savings,Active
177,7913,Savings,Dormant
178,8520,Credit,Active
179,1310,Current,Active
180,7203,Savings,Active
181,7701,Credit,Active
182,4719,Current,Active
183,5951,Savings,Active
184,756,Current,Active
185,146,Current,Active
186,5117,Savings,Active
187,3575,Savings,Active
188,9820,Credit,Active
189,4924,Current,Active
190,1859,Savings,Active
191,4723,Savings,Active
192,3599,Current,Active
193,630,Current,Active
194,3519,Current,Active
195,6559,Savings,Active
196,4353,Savings,Active
197,7430,Credit,Active
198,9097,Current,Active
199,5556,Savings,Closed
200,7998,Savings,Active
201,108,Current,Dormant
202,9235,Savings,Active
203,9581,Current,Active
204,9869,Savings,Closed
205,5499,Current,Dormant
206,4256,Current,Active
207,4196,Savings,Active
208,8457,Current,Active
209,3822,Credit,Active
210,677,Credit,Active
211,5179,Current,Active
212,5567,Credit,Active
213,3970,Savings,Active
214,5421,Savings,Active
215,608,Current,Active
216,5675,Savings,Active
217,5889,Savings,Active
218,5333,Credit,Active
219,7357,Savings,Active
220,6787,Savings,Active
221,2395,Credit,Active
222,8071,Current,Active
223,9353,Current,Closed
224,5150,Credit,Active
225,6290,Credit,Active
226,9684,Savings,Active
227,2022,Savings,Active
228,7785,Current,Active
229,4599,Current,Dormant
230,3016,Credit,Active
231,5311,Savings,Active
232,2049,Credit,Active
233,5970,Current,Active
234,894,Current,Active
235,9280,Credit,Active
236,6088,Savings,Active
237,2934,Savings,Active
238,2282,Credit,Dormant
239,8265,Current,Active
240,1381,Credit,Active
241,484,Credit,Dormant
242,9222,Savings,Active
243,3780,Current,Active
244,6102,Current,Closed
245,4955,Savings,Closed
246,5954,Current,Active
247,6281,Current,Active
248,779,Savings,Active
249,3476,Current,Active
250,4724,Current,Active
251,6887,Credit,Active
252,6714,Current,Active
253,8602,Credit,Active
254,1060,Credit,Active
255,6374,Credit,Active
256,7395,Savings,Active
257,2310,Savings,Dormant
258,1601,Current,Active
259,2234,Credit,Active
260,9845,Current,Active
261,7354,Current,Active
262,9490,Current,Active
263,352,Current,Active
264,6470,Current,Active
265,8657,Credit,Dormant
266,3167,Credit,Active
267,5254,Credit,Active
268,2210,Credit,Active
269,8748,Savings,Active
270,300,Credit,Active
271,3867,Credit,Dormant
272,8548,Credit,Active
273,564,Savings,Active
274,4889,Current,Active
275,9215,Savings,Active
276,1191,Credit,Active
277,3211,Credit,Active
278,6379,Savings,Active
279,9219,Current,Active
280,8448,Savings,Active
281,2419,Savings,Active
282,2564,Credit,Active
283,2952,Savings,Active
284,7384,Savings,Active
285,270,Savings,Active
286,6620,Savings,Active
287,5648,Savings,Active
288,9120,Savings,Active
289,8256,Credit,Active
290,4556,Credit,Dormant
291,1043,Credit,Active
292,5445,Credit,Active
293,5004,Savings,Active
294,4189,Savings,Closed
295,9002,Savings,Active
296,3089,Savings,Active
297,1647,Credit,Active
298,488,Credit,Active
299,3082,Savings,Active
300,1748,Savings,Active
301,8941,Savings,Active
302,528,Savings,Active
303,1168,Current,Active
304,4611,Current,Active
305,4473,Current,Active
306,7662,Current,Active
307,5805,Savings,Active
308,484,Savings,Active
309,452,Savings,Active
310,4070,Current,Active
311,5656,Current,Active
312,7208,Savings,Active
313,4398,Current,Active
314,5672,Credit,Active
315,3134,Current,Active
316,1774,Current,Active
317,5623,Current,Closed
318,9191,Current,Active
319,7413,Savings,Active
320,2066,Credit,Active
321,8590,Savings,Active
322,6333,Current,Closed
323,7914,Current,Active
324,9996,Current,Active
325,1947,Current,Active
326,3416,Current,Active
327,1395,Credit,Active
328,2422,Savings,Active
329,3920,Current,Dormant
330,7346,Credit,Active
331,3084,Savings,Active
332,8031,Savings,Active
333,8121,Savings,Active
334,1845,Current,Dormant
335,1805,Current,Active
336,9082,Credit,Active
337,2504,Credit,Active
338,1894,Savings,Active
339,1667,Current,Active
340,4345,Savings,Active
341,6592,Savings,Active
342,3066,Credit,Active
343,5076,Current,Dormant
344,3076,Credit,Active
345,1260,Current,Active
346,2221,Savings,Active
347,5442,Savings,Active
348,8979,Savings,Active
349,4936,Current,Active
350,2448,Savings,Active
351,3130,Current,Active
352,1899,Current,Active
353,7698,Credit,Active
354,6692,Savings,Active
355,4504,Credit,Active
356,3950,Current,Active
357,8011,Savings,Active
358,7440,Savings,Dormant
359,17,Current,Active
360,7960,Savings,Active
361,6242,Current,Active
362,7907,Savings,Active
363,3023,Savings,Active
364,1267,Current,Active
365,479,Credit,Active
366,4297,Current,Active
367,3978,Savings,Active
368,6069,Current,Active
369,4275,Current,Active
370,6414,Current,Active
371,7792,Savings,Active
372,486,Credit,Active
373,4674,Credit,Active
374,338,Savings,Active
375,9053,Credit,Active
376,6901,Current,Active
377,2004,Current,Active
378,1472,Credit,Active
379,6728,Credit,Active
380,2043,Credit,Active
381,1520,Current,Active
382,6490,Current,Active
383,8894,Savings,Active
384,4389,Savings,Active
385,7857,Current,Active
386,9366,Current,Active
387,1606,Savings,Active
388,5665,Savings,Active
389,6940,Current,Active
390,5118,Credit,Active
391,5380,Current,Closed
392,2125,Credit,Closed
393,4992,Current,Active
394,6795,Savings,Closed
395,1447,Savings,Active
396,3307,Savings,Active
397,2373,Current,Active
398,151,Current,Active
399,1660,Current,Active
400,6140,Credit,Active
401,9071,Current,Closed
402,7200,Credit,Active
403,2320,Credit,Active
404,2884,Credit,Active
405,7804,Savings,Active
406,1516,Credit,Active
407,590,Credit,Active
408,588,Savings,Dormant
409,2620,Credit,Closed
410,5488,Current,Active
411,6224,Current,Active
412,9388,Savings,Active
413,4354,Savings,Active
414,2606,Credit,Active
415,2539,Credit,Active
416,8758,Credit,Active
417,1757,Savings,Active
418,1361,Credit,Active
419,2374,Current,Active
420,1196,Current,Active
421,2132,Credit,Active
422,8010,Savings,Active
423,5644,Current,Active
424,9760,Savings,Active
425,3411,Current,Active
426,2368,Credit,Active
427,3344,Credit,Active
428,7282,Savings,Active
429,3098,Credit,Active
430,9453,Savings,Active
431,1334,Savings,Active
432,7166,Current,Active
433,3337,Current,Active
434,8158,Credit,Active
435,3085,Savings,Dormant
436,3388,Current,Active
437,4714,Credit,Active
438,7806,Credit,Active
439,5102,Current,Dormant
440,2432,Credit,Active
441,1017,Current,Active
442,642,Savings,Active
443,4063,Credit,Active
444,8508,Savings,Active
445,441,Current,Active
446,1139,Savings,Active
447,9107,Current,Active
448,5244,Credit,Active
449,2304,Credit,Active
450,5951,Credit,Active
451,7047,Savings,Active
452,6607,Savings,Dormant
453,3422,Savings,Active
454,2079,Current,Closed
455,6104,Credit,Active
456,4151,Savings,Active
457,2201,Current,Active
458,4552,Savings,Active
459,6430,Current,Active
460,8228,Credit,Active
461,9010,Savings,Active
462,1947,Credit,Active
463,3957,Savings,Active
464,2226,Current,Closed
465,7716,Credit,Dormant
466,3326,Savings,Active
467,8700,Savings,Active
468,3746,Credit,Active
469,8161,Current,Active
470,4815,Credit,Active
471,8652,Savings,Active
472,6104,Credit,Active
473,1406,Credit,Active
474,6091,Current,Active
475,7288,Current,Active
476,2037,Credit,Active
477,6035,Current,Active
478,2678,Current,Active
479,6145,Savings,Active
480,1745,Current,Dormant
481,9424,Credit,Active
482,1178,Credit,Active
483,762,Savings,Active
484,4779,Savings,Active
485,6459,Savings,Active
486,5624,Credit,Active
487,4715,Credit,Dormant
488,3727,Current,Active
489,9736,Savings,Active
490,1934,Current,Active
491,3562,Current,Active
492,7180,Credit,Active
493,4445,Current,Dormant
494,2965,Savings,Active
495,9223,Savings,Active
496,7225,Credit,Dormant
497,8782,Credit,Active
498,3102,Credit,Active
499,3898,Savings,Active
500,3679,Credit,Active
501,1844,Savings,Active
502,1939,Current,Active
503,8445,Credit,Active
504,7867,Credit,Active
505,7084,Credit,Active
506,5373,Savings,Dormant
507,1467,Current,Active
508,736,Credit,Active
509,340,Current,Active
510,1377,Credit,Active
511,4720,Savings,Active
512,705,Current,Active
513,3725,Current,Active
514,8190,Credit,Active
515,4419,Current,Active
516,5260,Savings,Active
517,9661,Current,Active
518,553,Current,Active
519,3492,Current,Active
520,790,Current,Active
521,1174,Credit,Active
522,553,Credit,Active
523,3423,Current,Active
524,4212,Current,Active
525,8824,Savings,Dormant
526,270,Credit,Active
527,861,Credit,Active
528,291,Credit,Active
529,9650,Current,Active
530,5871,Credit,Active
531,630,Savings,Active
532,7008,Savings,Active
533,5944,Savings,Dormant
534,475,Savings,Active
535,4633,Savings,Dormant
536,4081,Credit,Active
537,1761,Current,Active
538,4709,Current,Active
539,6921,Current,Active
540,3399,Current,Active
541,3562,Credit,Active
542,3845,Credit,Active
543,3805,Credit,Dormant
544,9817,Savings,Active
545,1509,Current,Active
546,4111,Credit,Active
547,4854,Credit,Dormant
548,6832,Credit,Dormant
549,8196,Current,Active
550,3448,Current,Active
551,5585,Savings,Active
552,3792,Savings,Dormant
553,5082,Savings,Active
554,9353,Current,Active
555,834,Savings,Active
556,5336,Savings,Active
557,5488,Credit,Active
558,6261,Current,Active
559,9395,Savings,Closed
560,2176,Savings,Active
561,9574,Current,Active
562,4174,Savings,Active
563,2789,Current,Active
564,7461,Current,Active
565,8534,Current,Closed
566,9554,Savings,Active
567,6722,Savings,Closed
568,4192,Savings,Active
569,7313,Current,Active
570,8188,Savings,Active
571,4617,Credit,Active
572,996,Current,Active
573,357,Savings,Active
574,8378,Current,Active
575,1694,Savings,Active
576,2591,Current,Active
577,9535,Credit,Closed
578,7922,Current,Active
579,1692,Current,Dormant
580,9275,Current,Active
581,2058,Savings,Active
582,2905,Current,Active
583,4452,Savings,Active
584,6938,Current,Active
585,2381,Savings,Dormant
586,8209,Savings,Active
587,8516,Savings,Active
588,2071,Savings,Dormant
589,931,Current,Active
590,1445,Current,Active
591,8595,Savings,Active
592,3403,Savings,Active
593,4553,Savings,Active
594,9699,Credit,Active
595,1522,Credit,Active
596,3099,Current,Active
597,8121,Credit,Active
598,7356,Credit,Active
599,2188,Savings,Dormant
600,2569,Savings,Active
601,8284,Credit,Active
602,4948,Credit,Dormant
603,4941,Credit,Active
604,4763,Savings,Closed
605,1754,Current,Active
606,5055,Credit,Active
607,4893,Current,Active
608,5782,Current,Active
609,88,Credit,Active
610,1642,Current,Active
611,2963,Savings,Active
612,5414,Credit,Active
613,7421,Credit,Active
614,8743,Credit,Active
615,6911,Credit,Active
616,5174,Savings,Active
617,5230,Savings,Active
618,8816,Current,Active
619,3758,Credit,Dormant
620,4797,Credit,Dormant
621,3293,Current,Active
622,3833,Savings,Closed
623,2612,Credit,Dormant
624,8354,Current,Active
625,8229,Savings,Active
626,9038,Current,Active
627,6767,Current,Active
628,7538,Savings,Active
629,5297,Credit,Active
630,3347,Savings,Dormant
631,4055,Credit,Active
632,4201,Savings,Active
633,8528,Credit,Active
634,1561,Credit,Active
635,7523,Current,Active
636,4165,Current,Active
637,6721,Credit,Dormant
638,8854,Savings,Active
639,5440,Credit,Active
640,4853,Savings,Active
641,6596,Credit,Dormant
642,6714,Savings,Active
643,3184,Current,Active
644,9678,Savings,Active
645,8033,Current,Active
646,2410,Savings,Active
647,4299,Current,Dormant
648,2535,Savings,Dormant
649,5600,Credit,Dormant
650,4,Savings,Active
651,27,Current,Active
652,5162,Current,Closed
653,965,Savings,Active
654,6208,Credit,Active
655,3097,Savings,Active
656,72,Savings,Active
657,5602,Current,Active
658,2948,Credit,Dormant
659,6239,Credit,Closed
660,4491,Credit,Active
661,2412,Credit,Active
662,8309,Savings,Active
663,2925,Credit,Active
664,2838,Credit,Closed
665,577,Credit,Active
666,8964,Current,Active
667,7908,Current,Active
668,8392,Current,Active
669,1756,Credit,Active
670,8372,Savings,Active
671,2406,Savings,Active
672,6884,Current,Active
673,8164,Current,Active
674,6140,Credit,Dormant
675,2989,Current,Active
676,5785,Current,Active
677,9795,Current,Active
678,1120,Current,Active
679,2215,Savings,Dormant
680,8001,Credit,Active
681,8066,Savings,Active
682,2902,Current,Dormant
683,1086,Credit,Active
684,174,Credit,Active
685,3533,Savings,Dormant
686,1239,Savings,Dormant
687,4835,Current,Active
688,3814,Savings,Active
689,7085,Current,Active
690,8013,Current,Active
691,1974,Current,Dormant
692,3783,Credit,Active
693,2245,Credit,Active
694,9850,Savings,Active
695,8605,Savings,Active
696,7222,Credit,Active
697,7815,Savings,Active
698,1383,Current,Active
699,1124,Current,Closed
700,5182,Credit,Closed
701,4013,Savings,Active
702,2244,Savings,Closed
703,2590,Credit,Active
704,9971,Current,Dormant
705,1130,Current,Active
706,8837,Savings,Active
707,9750,Credit,Active
708,6300,Credit,Active
709,4502,Current,Dormant
710,7040,Current,Active
711,2774,Savings,Closed
712,2786,Credit,Active
713,6941,Savings,Active
714,1707,Savings,Dormant
715,2602,Credit,Active
716,8567,Credit,Active
717,1613,Current,Active
718,455,Credit,Active
719,4298,Savings,Active
720,1476,Savings,Active
721,9046,Credit,Active
722,8916,Savings,Active
723,1392,Credit,Closed
724,8454,Current,Active
725,8009,Current,Active
726,8735,Credit,Active
727,8743,Savings,Active
728,5426,Credit,Active
729,638,Credit,Active
730,8357,Current,Active
731,2806,Credit,Dormant
732,8813,Current,Active
733,1224,Current,Active
734,3343,Credit,Active
735,8243,Credit,Active
736,489,Credit,Active
737,5143,Credit,Active
738,8857,Current,Active
739,1247,Credit,Active
740,6062,Current,Active
741,2711,Current,Active
742,4362,Savings,Active
743,3953,Current,Active
744,881,Savings,Active
745,435,Credit,Active
746,6125,Savings,Active
747,8105,Credit,Active
748,5185,Current,Active
749,1985,Savings,Active
750,9985,Credit,Active
751,2799,Credit,Dormant
752,7604,Savings,Active
753,1494,Savings,Closed
754,2680,Credit,Active
755,1626,Credit,Active
756,3018,Current,Active
757,1848,Credit,Active
758,3247,Savings,Active
759,9731,Credit,Active
760,1317,Credit,Active
761,9912,Savings,Active
762,1951,Current,Active
763,224,Credit,Active
764,2027,Savings,Active
765,1548,Savings,Active
766,3779,Savings,Active
767,6512,Savings,Active
768,5786,Current,Active
769,7758,Savings,Active
770,3724,Credit,Active
771,1524,Current,Active
772,1973,Savings,Active
773,4605,Credit,Active
774,617,Current,Active
