customer_id,age,gender,risk_category,signup_date
1,56,Female,Low,2024-08-20
2,69,Female,Medium,2022-11-30
3,46,Male,Medium,2024-09-30
4,32,Male,Low,2024-05-09
5,60,Male,Low,2024-08-21
6,25,Male,Low,2025-07-17
7,78,Male,Low,2025-08-19
8,38,Female,Low,2024-03-29
9,56,Male,Low,2023-07-05
10,75,Male,Medium,2026-01-28
11,36,Male,Low,2024-05-04
12,40,Male,Low,2022-02-03
13,28,Male,Low,2024-08-10
14,28,Female,Low,2025-07-02
15,41,Male,Low,2022-05-05
16,70,Male,Medium,2023-08-03
17,53,Male,Low,2023-07-13
18,57,Female,Low,2021-11-24
19,41,Female,Low,2023-10-05
20,20,Male,Low,2024-04-16
21,39,Male,Low,2023-03-07
22,70,Female,Low,2024-08-11
23,19,Female,Low,2022-01-02
24,41,Female,Low,2022-11-24
25,61,Male,Medium,2023-12-26
26,47,Male,Low,2025-06-04
27,55,Female,Low,2025-11-07
28,19,Male,Low,2023-01-18
29,77,Female,Low,2023-06-11
30,38,Female,Low,2024-09-17
31,50,Female,Low,2021-12-12
32,29,Male,Low,2021-04-24
33,75,Female,Low,2023-05-24
34,39,Female,Low,2022-06-25
35,78,Male,Low,2021-12-18
36,61,Female,Low,2023-01-09
37,42,Male,Medium,2022-12-13
38,66,Female,High,2023-05-08
39,44,Male,Low,2025-02-01
40,76,Female,Low,2021-09-27
41,59,Female,Medium,2021-07-03
42,45,Female,Low,2022-06-27
43,77,Female,Low,2023-06-13
44,33,Female,Medium,2025-04-25
45,32,Male,Low,2023-09-06
46,79,Male,High,2022-03-31
47,79,Female,Medium,2025-07-22
48,64,Female,Low,2023-03-12
49,79,Female,Medium,2024-12-12
50,68,Male,Low,2026-02-17
51,61,Male,Low,2023-12-18
52,72,Female,Medium,2022-11-17
53,69,Male,Low,2021-10-31
54,74,Female,Medium,2025-04-22
55,20,Female,Medium,2024-06-10
56,54,Female,High,2024-08-06
57,68,Male,Medium,2025-03-30
58,24,Female,Low,2021-07-17
59,38,Female,Low,2025-05-28
60,26,Female,Medium,2021-09-16
61,56,Male,Low,2022-03-13
62,35,Male,Low,2021-08-10
63,21,Male,Low,2025-10-12
64,42,Female,Medium,2022-04-05
65,77,Male,Medium,2025-06-21
66,31,Female,Low,2021-11-04
67,67,Male,Low,2025-12-19
68,75,Female,Low,2024-03-30
69,26,Male,Low,2024-12-20
70,43,Female,Low,2022-10-28
71,70,Male,Low,2022-12-20
72,19,Male,Low,2022-09-26
73,37,Male,Low,2023-05-24
74,45,Female,Low,2021-04-14
75,64,Male,Low,2021-05-22
76,77,Male,High,2024-03-24
77,24,Male,Low,2023-03-12
78,61,Male,Low,2024-03-03
79,78,Female,Low,2023-04-13
80,25,Male,Low,2021-06-08
81,64,Female,Low,2023-03-22
82,52,Female,Low,2025-07-06
83,31,Female,Low,2023-08-03
84,34,Female,Low,2022-11-15
85,53,Male,Medium,2024-10-06
86,67,Female,Low,2022-03-14
87,57,Female,Low,2021-02-21
88,21,Female,Medium,2021-07-21
89,19,Female,Low,2022-07-23
90,79,Male,Medium,2023-05-12
91,23,Male,High,2023-01-15
92,71,Female,Low,2021-12-11
93,59,Female,High,2023-01-12
94,21,Female,Medium,2022-03-28
95,71,Male,High,2025-05-17
96,46,Male,Low,2022-06-23
97,35,Male,Low,2025-07-31
98,43,Male,Medium,2026-01-12
99,61,Male,Low,2024-02-27
100,51,Female,Low,2022-12-23
101,27,Male,Low,2024-05-27
102,79,Male,Low,2021-06-07
103,53,Female,Low,2021-12-21
104,31,Male,Medium,2022-07-14
105,48,Male,High,2021-03-26
106,65,Male,Low,2025-01-23
107,32,Female,High,2022-09-16
108,25,Male,High,2023-08-14
109,31,Female,Low,2021-07-18
110,40,Female,Low,2023-02-24
111,77,Male,Medium,2022-07-21
112,74,Male,Low,2025-06-11
113,79,Male,Medium,2022-07-26
114,57,Male,Medium,2024-04-21
115,38,Female,Low,2024-11-27
116,33,Male,Low,2023-06-09
117,62,Female,Low,2021-06-02
118,35,Female,Low,2024-12-02
119,64,Female,Low,2025-10-12
120,70,Female,Medium,2022-02-05
121,41,Female,Low,2025-05-24
122,43,Male,High,2022-04-19
123,42,Female,Low,2021-08-18
124,77,Female,Medium,2025-09-08
125,77,Male,Low,2024-11-26
126,77,Male,High,2021-04-09
127,62,Female,Medium,2021-12-12
128,58,Female,Low,2022-06-30
129,46,Male,High,2024-02-16
130,32,Female,Low,2024-10-13
131,62,Male,Low,2023-11-20
132,18,Male,Low,2023-02-20
133,42,Female,Medium,2025-01-20
134,24,Male,Low,2024-01-12
135,26,Female,Low,2024-01-20
136,41,Female,Medium,2023-10-08
137,18,Female,Medium,2024-08-29
138,61,Male,Low,2023-11-26
139,25,Female,Low,2026-01-06
140,41,Male,Low,2021-05-25
141,28,Female,Medium,2021-03-06
142,68,Female,Medium,2024-06-17
143,34,Male,Low,2021-11-28
144,25,Female,Low,2026-02-18
145,52,Female,Low,2025-12-14
146,52,Male,Medium,2025-01-12
147,50,Male,Low,2023-03-08
148,76,Male,Low,2021-12-15
149,22,Female,Low,2024-02-21
150,59,Male,Low,2021-10-15
151,56,Male,Low,2021-03-31
152,75,Female,Low,2022-10-26
153,58,Male,High,2024-01-16
154,45,Female,Low,2022-11-04
155,24,Female,Low,2021-08-02
156,26,Male,High,2024-09-17
157,25,Female,Low,2023-07-15
158,29,Male,Low,2023-06-19
159,51,Male,Low,2021-05-04
160,50,Male,Medium,2025-09-27
161,65,Male,Low,2024-05-23
162,72,Female,Medium,2023-05-11
163,40,Female,Low,2022-07-24
164,79,Male,Low,2021-03-25
165,41,Male,Medium,2025-12-07
166,54,Female,High,2025-04-09
167,52,Male,Low,2022-09-01
168,61,Female,Medium,2023-08-30
169,57,Male,Low,2022-06-12
170,39,Female,Low,2025-11-09
171,44,Female,Low,2023-10-31
172,52,Female,Low,2024-08-07
173,18,Male,Low,2024-03-21
174,52,Male,Low,2022-10-20
175,54,Male,Low,2021-11-29
176,64,Male,Low,2022-07-26
177,31,Male,High,2023-05-01
178,20,Female,High,2021-06-25
179,18,Female,Medium,2023-02-23
180,22,Female,Low,2022-07-05
181,43,Female,Low,2023-11-15
182,72,Female,Medium,2021-02-26
183,31,Female,High,2023-09-19
184,56,Female,Low,2025-09-04
185,44,Male,Medium,2025-08-28
186,26,Female,High,2023-11-26
187,32,Male,Medium,2021-04-18
188,32,Female,Low,2023-05-15
189,43,Female,Low,2025-01-24
190,59,Male,Low,2023-07-22
191,77,Female,Low,2024-04-25
192,30,Male,Low,2024-07-22
193,68,Female,Low,2025-04-09
194,49,Male,Medium,2025-01-02
195,56,Female,Low,2025-12-20
196,66,Male,Low,2025-08-04
197,69,Male,Low,2025-12-15
198,78,Female,Low,2025-01-18
199,49,Female,Medium,2023-10-25
200,21,Male,Low,2022-08-25
201,47,Female,Medium,2025-10-12
202,54,Male,Low,2025-05-17
203,40,Female,Low,2023-07-04
204,56,Male,Medium,2021-03-14
205,62,Female,Low,2023-02-13
206,32,Male,Low,2025-01-01
207,60,Female,Low,2025-09-24
208,46,Male,Low,2023-02-09
209,53,Male,Low,2024-09-03
210,30,Female,Medium,2023-09-20
211,49,Female,Low,2021-08-02
212,24,Male,High,2021-10-07
213,76,Male,Low,2025-08-13
214,68,Male,Low,2023-10-05
215,39,Male,Low,2026-01-26
216,45,Female,Low,2025-11-08
217,19,Male,Low,2021-09-26
218,59,Male,Low,2022-03-20
219,62,Male,Low,2022-03-31
220,79,Female,Medium,2024-09-07
221,74,Male,Low,2021-03-28
222,70,Female,Medium,2024-10-09
223,23,Female,Low,2021-08-04
224,45,Female,Low,2023-06-14
225,45,Female,Low,2025-04-03
226,61,Female,Low,2021-03-03
227,61,Female,Medium,2024-11-04
228,37,Female,Low,2022-12-28
229,47,Male,Low,2021-11-14
230,79,Male,Low,2025-06-16
231,28,Female,Low,2021-07-26
232,75,Male,Low,2025-04-09
233,72,Male,Medium,2022-01-21
234,45,Female,Low,2025-05-01
235,42,Male,High,2025-11-03
236,56,Female,Medium,2023-11-01
237,79,Male,Low,2023-11-07
238,50,Female,Low,2021-04-11
239,18,Female,Low,2024-10-26
240,74,Male,Low,2021-11-14
241,44,Male,Low,2021-08-13
242,79,Female,High,2022-03-28
243,74,Female,Low,2022-06-23
244,69,Female,Low,2024-06-10
245,30,Male,Low,2024-02-08
246,58,Male,Low,2021-08-03
247,20,Male,Medium,2021-08-02
248,56,Male,Low,2025-11-20
249,23,Female,Low,2025-02-22
250,25,Female,Low,2023-12-22
251,44,Female,Medium,2021-11-14
252,26,Female,Low,2021-03-11
253,79,Male,High,2023-06-04
254,54,Female,Low,2022-11-18
255,50,Female,Low,2025-09-10
256,68,Male,Low,2026-02-06
257,59,Male,Low,2021-12-21
258,61,Female,Low,2023-11-27
259,41,Male,Low,2025-10-17
260,32,Female,Low,2022-11-06
