transaction_id,transaction_date,customer_id,account_id,merchant_id,amount,is_fraud
1000001,2025-01-02,4386,1429,1575,298.07,False
1000002,2025-01-14,4368,1765,1718,64.32,False
1000003,2025-01-29,626,6212,1099,317.77,False
1000004,2025-01-18,5443,5584,1746,987.75,False
1000005,2025-01-02,2616,2213,691,163.93,False
1000006,2025-01-18,5469,11497,503,105.09,False
1000007,2025-01-06,28,14843,894,144.32,False
1000008,2025-01-25,1436,14396,1224,126.89,False
1000009,2025-01-13,1145,109,647,50.37,False
1000010,2025-01-24,7346,1672,1855,189.58,False
1000011,2025-01-02,1520,10931,292,251.55,False
1000012,2025-01-05,348,4781,1867,322.25,False
1000013,2025-01-14,9395,7814,544,320.43,False
1000014,2025-01-16,603,12596,625,112.27,False
1000015,2025-01-11,8548,13132,990,86.93,False
1000016,2025-01-07,9977,10466,1080,24.16,False
1000017,2025-01-19,5166,206,816,140.91,False
1000018,2025-01-29,8401,7117,1403,138.71,False
1000019,2025-01-18,9774,14584,1708,138.93,False
1000020,2025-01-16,8530,10953,860,721.32,False
1000021,2025-01-12,8357,522,1736,244.51,False
1000022,2025-01-25,2974,11892,1680,95.42,False
1000023,2025-01-03,7978,10782,537,503.06,False
1000024,2025-01-06,5488,5521,1136,164.94,False
1000025,2025-01-13,1201,11848,936,183.22,False
1000026,2025-01-13,9391,12759,689,32.14,False
1000027,2025-01-01,3098,9605,181,230.99,False
1000028,2025-01-27,5956,211,1836,104.93,False
1000029,2025-01-12,3755,6648,1090,134.9,False
1000030,2025-01-17,979,10467,590,520.78,False
1000031,2025-01-16,3824,8916,991,276.65,False
1000032,2025-01-06,2520,8789,911,245.14,False
1000033,2025-01-13,7558,724,21,461.83,False
1000034,2025-01-05,7477,3166,44,360.65,False
1000035,2025-01-09,5768,11223,557,53.99,False
1000036,2025-01-31,7116,10392,861,25.15,False
1000037,2025-01-01,1780,10119,129,246.71,False
1000038,2025-01-17,5818,11585,182,4.07,False
1000039,2025-01-03,7098,14705,18,203.43,False
1000040,2025-01-26,8779,6185,151,41.53,False
1000041,2025-01-18,6623,478,661,95.96,False
1000042,2025-01-09,7742,542,1538,202.07,False
1000043,2025-01-18,5486,6785,714,648.01,False
1000044,2025-01-01,2685,14482,1973,110.56,False
1000045,2025-01-14,1053,11760,1782,90.88,False
1000046,2025-01-22,2360,6097,1370,305.16,False
1000047,2025-01-08,1285,13513,1801,109.98,False
1000048,2025-01-21,937,12421,1063,224.84,False
1000049,2025-01-13,8807,5017,300,40.96,False
1000050,2025-01-30,4771,12717,1712,68.89,False
1000051,2025-01-13,6038,2073,1096,179.94,False
1000052,2025-01-11,8473,1959,1290,27.99,False
1000053,2025-01-06,9656,6329,886,97.14,False
1000054,2025-01-02,2229,7451,1369,468.52,False
1000055,2025-01-01,5727,7369,1784,481.81,False
1000056,2025-01-24,7392,4978,879,95.24,False
1000057,2025-01-26,463,2599,1069,46.91,False
1000058,2025-01-11,8468,8434,1140,103.38,False
1000059,2025-01-05,5630,8195,215,216.01,False
1000060,2025-01-18,6046,3685,1830,0.67,False
1000061,2025-01-19,5572,1522,557,589.37,False
1000062,2025-01-30,8296,3986,417,86.5,False
1000063,2025-01-29,5277,4335,816,580.47,False
1000064,2025-01-02,8201,1317,1959,74.45,False
1000065,2025-01-07,8277,3269,1553,411.23,False
1000066,2025-01-29,282,3182,550,328.33,False
1000067,2025-01-19,3784,1395,1230,229.51,False
1000068,2025-01-11,1373,5590,1136,1026.43,False
1000069,2025-01-18,2187,14591,1657,139.81,False
1000070,2025-01-30,8753,2220,1610,149.75,False
1000071,2025-01-29,7930,8066,1497,24.49,False
1000072,2025-01-13,463,4209,1462,656.33,False
1000073,2025-01-27,9470,14208,996,152.85,False
1000074,2025-01-11,6486,14984,460,338.57,False
1000075,2025-01-27,8213,2067,1249,308.35,False
1000076,2025-01-21,98,14718,1626,45.36,False
1000077,2025-01-26,9851,9981,1988,84.41,False
1000078,2025-01-16,5627,11400,1198,273.6,False
1000079,2025-01-04,860,5909,1765,273.31,False
1000080,2025-01-15,5929,10961,1753,297.94,False
1000081,2025-01-14,5170,5877,444,144.16,False
1000082,2025-01-25,7358,5621,1662,208.47,False
1000083,2025-01-25,3154,13443,371,218.47,False
1000084,2025-01-13,1024,13790,850,102.77,False
1000085,2025-01-13,8200,4350,1699,347.29,False
1000086,2025-01-30,2866,14031,1145,348.22,False
1000087,2025-01-13,6038,1134,1888,490.44,False
1000088,2025-01-10,2005,14881,544,601.63,False
1000089,2025-01-17,9920,5280,113,21.33,False
1000090,2025-01-31,6236,846,1201,127.45,False
1000091,2025-01-13,4891,1761,954,206.51,False
1000092,2025-01-19,5320,3976,1325,56.22,False
1000093,2025-01-15,4357,13777,900,157.77,False
1000094,2025-01-19,9364,5637,509,1.86,False
1000095,2025-01-31,7463,8209,1178,671.81,False
1000096,2025-01-29,4506,5525,1956,57.7,False
1000097,2025-01-02,2986,2021,41,119.1,False
1000098,2025-01-14,8134,12022,271,7.44,False
1000099,2025-01-16,8768,701,964,8.18,False
1000100,2025-01-18,2320,5339,1783,160.1,False
1000101,2025-01-12,3619,9793,1770,195.57,False
1000102,2025-01-02,7593,8260,1843,264.87,False
1000103,2025-01-30,9854,12687,1937,366.76,False
1000104,2025-01-10,9505,14761,29,27.07,False
1000105,2025-01-11,6333,3729,1410,270.56,False
1000106,2025-01-29,1027,14281,519,392.91,False
1000107,2025-01-10,2753,6817,733,138.72,False
1000108,2025-01-14,712,9947,27,132.57,False
1000109,2025-01-16,2700,3248,96,50.11,False
1000110,2025-01-09,8598,2719,1565,466.94,False
1000111,2025-01-24,8704,13757,398,135.02,False
1000112,2025-01-10,8190,14184,1795,67.49,False
1000113,2025-01-15,3673,4628,1081,626.47,False
1000114,2025-01-03,1692,7254,1256,155.74,False
1000115,2025-01-18,9133,4577,1654,94.1,False
1000116,2025-01-07,8532,1111,1302,69.16,False
1000117,2025-01-31,6429,6659,1634,68.03,False
1000118,2025-01-26,7350,1818,124,563.4,False
1000119,2025-01-19,7089,12480,1340,89.87,False
1000120,2025-01-14,8476,5841,316,193.86,False
1000121,2025-01-16,2205,3187,1904,1.39,False
1000122,2025-01-07,3954,616,501,1112.65,False
1000123,2025-01-30,3411,1204,827,25.52,False
1000124,2025-01-30,424,180,845,824.24,False
1000125,2025-01-21,5275,8961,62,401.02,False
1000126,2025-01-02,4040,11973,1817,58.38,False
1000127,2025-01-29,7138,11450,597,314.34,False
1000128,2025-01-30,3047,4984,231,52.99,False
1000129,2025-01-10,5322,3474,1056,262.99,False
1000130,2025-01-01,5924,12880,314,6.39,False
1000131,2025-01-15,3686,6788,455,174.32,False
1000132,2025-01-17,7121,6401,1148,1241.65,False
1000133,2025-01-07,6392,1263,1852,117.22,False
1000134,2025-01-16,698,4699,286,27.86,False
1000135,2025-01-16,1751,2065,250,89.39,False
1000136,2025-01-15,5782,9041,1259,82.56,False
1000137,2025-01-01,7292,8534,723,1.49,False
1000138,2025-01-10,5944,3496,800,190.83,False
1000139,2025-01-30,774,1733,1042,227.47,False
1000140,2025-01-27,1555,9713,1361,249.95,False
1000141,2025-01-11,1357,12788,1370,546.41,True
1000142,2025-01-07,6297,2946,858,33.94,False
1000143,2025-01-05,7786,2304,1744,11.75,False
1000144,2025-01-28,88,2664,1616,885.51,False
1000145,2025-01-26,1415,5424,67,309.61,False
1000146,2025-01-04,2399,3590,938,140.45,False
1000147,2025-01-14,3291,10835,829,110.0,False
1000148,2025-01-02,924,2486,235,40.27,False
1000149,2025-01-15,1480,2201,1369,447.02,False
1000150,2025-01-02,5881,7201,1959,33.08,False
1000151,2025-01-26,3381,13385,490,4.13,False
1000152,2025-01-08,7067,5595,1376,1.94,False
1000153,2025-01-05,1465,11064,20,63.88,False
1000154,2025-01-10,5364,10964,821,112.97,False
1000155,2025-01-12,3751,13348,125,209.89,False
1000156,2025-01-02,9014,1059,226,212.24,False
1000157,2025-01-30,4091,4720,481,88.54,False
1000158,2025-01-05,9132,12987,2,150.87,False
1000159,2025-01-26,9908,14659,1572,221.38,False
1000160,2025-01-21,8899,4314,1877,203.0,False
1000161,2025-01-14,9097,6026,760,0.88,False
1000162,2025-01-21,2135,13870,854,655.89,False
1000163,2025-01-29,545,9874,593,13.37,False
1000164,2025-01-12,5136,11309,1724,116.46,False
1000165,2025-01-01,5744,8297,1555,6.74,False
1000166,2025-01-01,4820,1309,776,285.57,False
1000167,2025-01-24,3010,9995,667,233.82,False
1000168,2025-01-15,1715,12017,1222,102.2,False
1000169,2025-01-31,8750,3256,818,123.52,False
